tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_ucode
Srg,WGO_JG,405,P,08/09/2021,WS00322
Srg,WGO_JG,405,C,08/09/2021,WS00323
Srg,WGO_JG,405,D,08/09/2021,WS00324
Srg,WGO_JG,406,C,08/09/2021,WS00325
Srg,WGO_JG,406,P,08/09/2021,WS00326
Srg,WGO_JG,406,D,08/09/2021,WS00327
Srg,WGO_JG,101,P,10/09/2021,WS00328
Srg,WGO_JG,101,C,10/09/2021,WS00329
Srg,WGO_JG,101,D,10/09/2021,WS00330
Srg,WGO_JG,102,C,10/09/2021,WS00331
Srg,WGO_JG,102,D,10/09/2021,WS00332
Srg,WGO_JG,102,P,10/09/2021,WS00333
Srg,WGO_JG,103,D,10/09/2021,WS00334
Srg,WGO_JG,103,P,10/09/2021,WS00335
Srg,WGO_JG,103,C,10/09/2021,WS00336
Srg,WGO_JG,104,C,10/09/2021,WS00337
Srg,WGO_JG,104,P,10/09/2021,WS00338
Srg,WGO_JG,104,D,10/09/2021,WS00339
Srg,WGO_JG,105,C,10/09/2021,WS00340
Srg,WGO_JG,105,P,10/09/2021,WS00341
Srg,WGO_JG,105,D,10/09/2021,WS00342
Srg,WGO_JG,106,P,10/09/2021,WS00343
Srg,WGO_JG,106,C,10/09/2021,WS00344
Srg,WGO_JG,106,D,10/09/2021,WS00345
Srg,WGO_JG,201,C,10/09/2021,WS00346
Srg,WGO_JG,201,D,10/09/2021,WS00347
Srg,WGO_JG,201,P,10/09/2021,WS00348
Srg,WGO_JG,202,P,10/09/2021,WS00349
Srg,WGO_JG,202,D,10/09/2021,WS00350
Srg,WGO_JG,202,C,10/09/2021,WS00351
Srg,WGO_JG,203,P,10/09/2021,WS00352
Srg,WGO_JG,203,C,10/09/2021,WS00353
Srg,WGO_JG,203,D,10/09/2021,WS00354
Srg,WGO_JG,204,P,10/09/2021,WS00355
Srg,WGO_JG,204,D,10/09/2021,WS00356
Srg,WGO_JG,204,C,10/09/2021,WS00357
Srg,WGO_JG,205,C,10/09/2021,WS00358
Srg,WGO_JG,205,D,10/09/2021,WS00359
Srg,WGO_JG,205,P,10/09/2021,WS00360
Srg,WGO_JG,206,D,10/09/2021,WS00361
Srg,WGO_JG,206,C,10/09/2021,WS00362
Srg,WGO_JG,206,P,10/09/2021,WS00363
Srg,WGO_JG,301,P,10/09/2021,WS00364
Srg,WGO_JG,301,C,10/09/2021,WS00365
Srg,WGO_JG,301,D,10/09/2021,WS00366
Srg,WGO_JG,302,P,10/09/2021,WS00367
Srg,WGO_JG,302,C,10/09/2021,WS00368
Srg,WGO_JG,302,D,10/09/2021,WS00369
Srg,WGO_JG,303,D,10/09/2021,WS00370
Srg,WGO_JG,303,P,10/09/2021,WS00371
Srg,WGO_JG,303,C,10/09/2021,WS00372
Srg,WGO_JG,304,C,10/09/2021,WS00373
Srg,WGO_JG,304,P,10/09/2021,WS00374
Srg,WGO_JG,304,D,10/09/2021,WS00375
Srg,WGO_JG,305,C,10/09/2021,WS00376
Srg,WGO_JG,305,D,10/09/2021,WS00377
Srg,WGO_JG,305,P,10/09/2021,WS00378
Srg,WGO_JG,306,C,10/09/2021,WS00379
Srg,WGO_JG,306,P,10/09/2021,WS00380
Srg,WGO_JG,306,D,10/09/2021,WS00381
Srg,WGO_JG,401,P,10/09/2021,WS00382
Srg,WGO_JG,401,C,10/09/2021,WS00383
Srg,WGO_JG,401,D,10/09/2021,WS00384
Srg,WGO_JG,402,C,10/09/2021,WS00385
Srg,WGO_JG,402,D,10/09/2021,WS00386
Srg,WGO_JG,402,P,10/09/2021,WS00387
Srg,WGO_JG,403,C,10/09/2021,WS00388
Srg,WGO_JG,403,D,10/09/2021,WS00389
Srg,WGO_JG,403,P,10/09/2021,WS00390
Srg,WGO_JG,404,P,10/09/2021,WS00391
Srg,WGO_JG,404,D,10/09/2021,WS00392
Srg,WGO_JG,404,C,10/09/2021,WS00393
Srg,WGO_JG,405,C,10/09/2021,WS00394
Srg,WGO_JG,405,D,10/09/2021,WS00395
Srg,WGO_JG,405,P,10/09/2021,WS00396
Srg,WGO_JG,406,C,10/09/2021,WS00397
Srg,WGO_JG,406,P,10/09/2021,WS00398
Srg,WGO_JG,406,D,10/09/2021,WS00399
Srg,WGO_JG,101,P,16/09/2021,WS00400
Srg,WGO_JG,101,D,16/09/2021,WS00401
Srg,WGO_JG,101,C,16/09/2021,WS00402
Srg,WGO_JG,102,C,16/09/2021,WS00403
Srg,WGO_JG,102,P,16/09/2021,WS00404
Srg,WGO_JG,102,D,16/09/2021,WS00405
Srg,WGO_JG,103,D,16/09/2021,WS00406
Srg,WGO_JG,103,P,16/09/2021,WS00407
Srg,WGO_JG,103,C,16/09/2021,WS00408
Srg,WGO_JG,104,C,16/09/2021,WS00409
Srg,WGO_JG,104,P,16/09/2021,WS00410
Srg,WGO_JG,104,D,16/09/2021,WS00411
Srg,WGO_JG,105,D,16/09/2021,WS00412
Srg,WGO_JG,105,C,16/09/2021,WS00413
Srg,WGO_JG,105,P,16/09/2021,WS00414
Srg,WGO_JG,106,C,16/09/2021,WS00415
Srg,WGO_JG,106,P,16/09/2021,WS00416
