tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_info6,tissue_ucode
Srg,WGO_JG,406, ,10/9/2021,D,WS00399
Srg,WGO_JG,101, ,16/09/2021,P,WS00400
Srg,WGO_JG,101, ,16/09/2021,D,WS00401
Srg,WGO_JG,101, ,16/09/2021,C,WS00402
Srg,WGO_JG,102, ,16/09/2021,C,WS00403
Srg,WGO_JG,102, ,16/09/2021,P,WS00404
Srg,WGO_JG,102, ,16/09/2021,D,WS00405
Srg,WGO_JG,103, ,16/09/2021,D,WS00406
Srg,WGO_JG,103, ,16/09/2021,P,WS00407
Srg,WGO_JG,103, ,16/09/2021,C,WS00408
Srg,WGO_JG,104, ,16/09/2021,C,WS00409
Srg,WGO_JG,104, ,16/09/2021,P,WS00410
Srg,WGO_JG,104, ,16/09/2021,D,WS00411
Srg,WGO_JG,105, ,16/09/2021,D,WS00412
Srg,WGO_JG,105, ,16/09/2021,C,WS00413
Srg,WGO_JG,105, ,16/09/2021,P,WS00414
Srg,WGO_JG,106, ,16/09/2021,C,WS00415
Srg,WGO_JG,106, ,16/09/2021,P,WS00416
Srg,WGO_JG,106, ,16/09/2021,D,WS00417
Srg,WGO_JG,201, ,16/09/2021,C,WS00418
Srg,WGO_JG,201, ,16/09/2021,P,WS00419
Srg,WGO_JG,201, ,16/09/2021,D,WS00420
Srg,WGO_JG,202, ,16/09/2021,P,WS00421
Srg,WGO_JG,202, ,16/09/2021,D,WS00422
Srg,WGO_JG,202, ,16/09/2021,C,WS00423
Srg,WGO_JG,203, ,16/09/2021,D,WS00424
Srg,WGO_JG,203, ,16/09/2021,P,WS00425
Srg,WGO_JG,203, ,16/09/2021,C,WS00426
Srg,WGO_JG,204, ,16/09/2021,P,WS00427
Srg,WGO_JG,204, ,16/09/2021,D,WS00428
Srg,WGO_JG,204, ,16/09/2021,C,WS00429
Srg,WGO_JG,205, ,16/09/2021,P,WS00430
Srg,WGO_JG,205, ,16/09/2021,C,WS00431
Srg,WGO_JG,205, ,16/09/2021,D,WS00432
Srg,WGO_JG,206, ,16/09/2021,C,WS00433
Srg,WGO_JG,206, ,16/09/2021,P,WS00434
Srg,WGO_JG,206, ,16/09/2021,D,WS00435
Srg,WGO_JG,301, ,16/09/2021,D,WS00436
Srg,WGO_JG,301, ,16/09/2021,C,WS00437
Srg,WGO_JG,301, ,16/09/2021,P,WS00438
Srg,WGO_JG,302, ,16/09/2021,C,WS00439
Srg,WGO_JG,302, ,16/09/2021,P,WS00440
Srg,WGO_JG,302, ,16/09/2021,D,WS00441
Srg,WGO_JG,303, ,16/09/2021,P,WS00442
Srg,WGO_JG,303, ,16/09/2021,D,WS00443
Srg,WGO_JG,303, ,16/09/2021,C,WS00444
Srg,WGO_JG,304, ,16/09/2021,C,WS00445
Srg,WGO_JG,304, ,16/09/2021,P,WS00446
Srg,WGO_JG,304, ,16/09/2021,D,WS00447
Srg,WGO_JG,305, ,16/09/2021,P,WS00448
Srg,WGO_JG,305, ,16/09/2021,C,WS00449
Srg,WGO_JG,305, ,16/09/2021,D,WS00450
Srg,WGO_JG,306, ,16/09/2021,C,WS00451
Srg,WGO_JG,306, ,16/09/2021,P,WS00452
Srg,WGO_JG,306, ,16/09/2021,D,WS00453
Srg,WGO_JG,401, ,16/09/2021,C,WS00454
Srg,WGO_JG,401, ,16/09/2021,P,WS00455
Srg,WGO_JG,401, ,16/09/2021,D,WS00456
Srg,WGO_JG,402, ,16/09/2021,C,WS00457
Srg,WGO_JG,402, ,16/09/2021,P,WS00458
Srg,WGO_JG,402, ,16/09/2021,D,WS00459
Srg,WGO_JG,403, ,16/09/2021,P,WS00460
Srg,WGO_JG,403, ,16/09/2021,D,WS00461
Srg,WGO_JG,403, ,16/09/2021,C,WS00462
Srg,WGO_JG,404, ,16/09/2021,P,WS00463
Srg,WGO_JG,404, ,16/09/2021,D,WS00464
Srg,WGO_JG,404, ,16/09/2021,C,WS00465
Srg,WGO_JG,405, ,16/09/2021,C,WS00466
Srg,WGO_JG,405, ,16/09/2021,P,WS00467
Srg,WGO_JG,405, ,16/09/2021,D,WS00468
Srg,WGO_JG,406, ,16/09/2021,P,WS00469
Srg,WGO_JG,406, ,16/09/2021,D,WS00470
Srg,WGO_JG,406, ,16/09/2021,C,WS00471
